key,weight_score,num_high,total_seqs
20241106_WGS_20241106_sc_PICA0033-PICA0069_Pool_8_0,0.03092490397534333,194,569
20241106_WGS_20241106_sc_PICA0033-PICA0069_Pool_8_2,0.1903587297602258,242,692
20241106_WGS_20241106_sc_PICA0033-PICA0069_Pool_8_1,0.219447812137848,165,455
20240530_WGS_20240530_sc_PICA0001-PICA0007_PMID_97-101_Pool_3_0,0.05659426459000538,78,177
20240530_WGS_20240530_sc_PICA0001-PICA0007_PMID_97-101_Pool_3_2,0.05868071773745576,80,243
20240530_WGS_20240530_sc_PICA0001-PICA0007_PMID_97-101_Pool_3_1,0.0543815605111815,93,230
20240918_WGS_20240924_sc_PICA0008-PICA0032_Pool_8_0,0.03858106051184691,135,411
20240918_WGS_20240924_sc_PICA0008-PICA0032_Pool_8_2,0.03109987261022709,180,489
20240918_WGS_20240924_sc_PICA0008-PICA0032_Pool_8_1,0.046651743571027915,164,451
20241106_WGS_20241106_sc_PICA0033-PICA0069_Pool_7_0,0.03597286021208474,197,523
20241106_WGS_20241106_sc_PICA0033-PICA0069_Pool_7_2,0.03476922598288079,149,383
20241106_WGS_20241106_sc_PICA0033-PICA0069_Pool_7_1,0.15890090595886727,207,722
20240530_WGS_20240530_sc_PICA0001-PICA0007_PMID_97-101_Pool_4_0,0.05113782603840869,37,140
20240530_WGS_20240530_sc_PICA0001-PICA0007_PMID_97-101_Pool_4_2,0.04989984883515067,120,328
20240530_WGS_20240530_sc_PICA0001-PICA0007_PMID_97-101_Pool_4_1,0.05383672305641408,83,213
20250114_WGS_20241218_sc_PICA0071-PICA0097_Pool_8_0,0.0648997314835779,180,625
20250114_WGS_20241218_sc_PICA0071-PICA0097_Pool_8_2,0.02685622692255871,195,539
20250114_WGS_20241218_sc_PICA0071-PICA0097_Pool_8_1,0.029649995612031257,199,576
20240918_WGS_20240924_sc_PICA0008-PICA0032_Pool_7_0,0.02894227060485148,222,571
20240918_WGS_20240924_sc_PICA0008-PICA0032_Pool_7_2,0.04632923170990698,271,670
20240918_WGS_20240924_sc_PICA0008-PICA0032_Pool_7_1,0.033425076954343914,165,458
20250114_WGS_20241218_sc_PICA0071-PICA0097_Pool_7_0,0.026893854970767652,163,427
20250114_WGS_20241218_sc_PICA0071-PICA0097_Pool_7_2,0.02793271295118958,243,599
20250114_WGS_20241218_sc_PICA0071-PICA0097_Pool_7_1,0.02672936901825761,211,573
